Singkatan/Slang,Frekuensi,Contoh Ulasan 1,Contoh Ulasan 2,Contoh Ulasan 3
gak,23883,[BCAMobile] masa gue isi flazz selalu gagal kedebit gak layak bgt gue transaksi gue,[BCAMobile] setelah masuk mbanking aktivasi ulang cs buat transaksi finansialnya padahal sebelumnya pernah aktif hp yg sama ribet banget tau gak sih,[BCAMobile] payah jauh sama livin mandiri kirim sms kode gak masuk masuk muter aja
ga,20600,[BCAMobile] qris ga di pakai daritadi loading mulu transfer uang gabisa,[BCAMobile] d update malah minta masukin norek awal install bca trus ga bs d ceklist buat lanjutin k proses selanjutnya gmn sih sistemnya bukannya memudahkan tp malah menyulitkan padahal sy sll menggunakan bca dlm transaksi,[BCAMobile] akun nya ga bis akembali
aja,18153,[BCAMobile] ribet banget ni apk sumpah dikir verif dikit verif udhmah nyedot pulsa mulu benerin lah jangan ribet gini mau pake aja ribet cuh,[BCAMobile] payah jauh sama livin mandiri kirim sms kode gak masuk masuk muter aja,[BCAMobile] apk dongo login aja kaga
udah,15884,[BCAMobile] tiap verifikasi wajah knapa slalu gagal ganti hp karna hp lama udah eror malah pas mau log in bca susah bgt tiap verifikasi gagal terus padahal pencahayaan udah aman bantuan sarqnnya dong,[BCAMobile] indikator lampu merah terus mana sering gitu mulu mau dipakek kayak gitu mulu berjam hak sinyal bagus apk udah diperbarui kejadian terus berulang sering,[BCAMobile] verifikasi e ktp wajah selalu gagal padahal data udah benar
yg,14415,[BCAMobile] setelah masuk mbanking aktivasi ulang cs buat transaksi finansialnya padahal sebelumnya pernah aktif hp yg sama ribet banget tau gak sih,[BCAMobile] udah restart udah x masuk qris buffering terus padahal pake wifi kapasitas yg paling bagus pdhl pake bca mobile krn simpel bagus cepat transaksinya alasan yg mau utarakan,[BCAMobile] yg terupdate tiap login mesti x siih login pertama input kode akses auto masuk harus ulangi ketik barulah masuk selalu kaya gitu lohh versi terbaru padahal versi sebelumnya gak pernah gini normal aja sekali login langsung masuk mohon penjelasannya min
bca,10570,[BCAMobile] kasik bintang dulu aku new user bca saldoku k pas cek kok berkurang jadi k terus notif transaksi jga lambat gaada catatan transaksi jga dong perbaiki kalau udh dibalas aku tambahin bintang,[BCAMobile] bca lgi gangguan apa gimana loading terus mau masuk bca mobile,[BCAMobile] tiap verifikasi wajah knapa slalu gagal ganti hp karna hp lama udah eror malah pas mau log in bca susah bgt tiap verifikasi gagal terus padahal pencahayaan udah aman bantuan sarqnnya dong
gk,9925,[BCAMobile] sekarang bca mobile gk di akses sy menggunakan wifi yah,[BCAMobile] gk tahu eror mulu,[BCAMobile] nomor udah benar kemarin mau pindah hp baru gk kode verifikasi trus mau login hp yg lama malah gk bisa login
pake,8049,[BCAMobile] ribet banget ni apk sumpah dikir verif dikit verif udhmah nyedot pulsa mulu benerin lah jangan ribet gini mau pake aja ribet cuh,[BCAMobile] aplikasi nya sampah tiba tiba keluar terus registrasi ulang pake sms pulsa sangat membantu delete,[BCAMobile] yaa tiap mau buat m bca selalu stuck pembuatan sandi m bca pas klik send tunggu lampu indikator hijau letak indikator lampunya ga udh coba install uninstall restart hp ttp ga mau jaringan wifi sama data oke ga kendala ulang trus smpai brp kali isi pulsa pdhl dri dulu suka bgt pake ni aplikasi krna simpel ke reset karna ganti no hp dongg solusinya
gimana,7320,[BCAMobile] bca lgi gangguan apa gimana loading terus mau masuk bca mobile,[BCAMobile] kok nggk nerima kode otp nya sejam lebih nunggu gimana si,[BCAMobile] gimana tolong habis ganti hp baru dipindahkan aktifasi lgi muncul proses silakan ulangi beberapa lagi udah ganti cardnya di sim lalu sudah pakai data tidak pakai wifi jaringan stabil restart hp juga udh kok kyk gitu
minta,5501,[BCAMobile] d update malah minta masukin norek awal install bca trus ga bs d ceklist buat lanjutin k proses selanjutnya gmn sih sistemnya bukannya memudahkan tp malah menyulitkan padahal sy sll menggunakan bca dlm transaksi,[BCAMobile] kenapa sama mau masuk aplikasi mau minta kode otp kali masuk kode otp nya nomor aktif pulsa sinyal internet stabil di coba beberapa jam kemudian tidak terima kode otp,[BCAMobile] dipindahkan hp laen diulang dr awal tp verifikasi terahir minta foto wajah da sampe kali bisa alhasil disuruh hub pusat m bca nya terblokir dong solusinya gimana sih
