clean_text,score,bank
dikit verivikasi ribet mohon di perbaiki,1,BCAMobile_reviews
sangat terbantu sexali dg adanya m bangking in,1,BCAMobile_reviews
kenapa sy tidak bisa mendownlod aplikasi bca,1,BCAMobile_reviews
sangat kecewa saya melakukan transfer keterangan gagal tapi saldo saya berkurang,1,BCAMobile_reviews
update an baru ada bugs,1,BCAMobile_reviews
gimana sih bca pas lagi transfer tiba tiba error dan disuruh cek mutasi padahal yang dibutuhin bukti transfer bukan mutasi di inbox juga bukti transfernya gak ada,1,BCAMobile_reviews
lama bgt pemeliharaan nya estimasi sampe jam mana,1,BCAMobile_reviews
ga bisa masuk masuk sampe pulsa habiss emangg tolol,1,BCAMobile_reviews
kode otp gk muncul munculudh isi pulsa tetep ajalama lama gimana sih initolong di perbaiki lahudh gitu verif wajah kadang ga di setujui padahal emng bner bener terang,1,BCAMobile_reviews
buat hapus inbox g bisaharus ini lah itulah perbaiki seperti semula,1,BCAMobile_reviews
ini kenapa bca gangguan dri tdi gak sudah,1,BCAMobile_reviews
ini kenapa pakai mbanking isi pulsa hari baru sampai dan itu pun masuknya cuma sekali saya beli sampai x pulsa tidak sampai tp saldo berkurang gimana ini bca pertanggung jawabannya,1,BCAMobile_reviews
woi gila yah emang ni apk udh kali gw kirim pesan login aja di bikin ribet suee lu ngembantu apa nguras sih abis nih pulsa nga jls amat sih buat apa apk ini di buat cuma nyusahin doang coba lu check dong lu liat sendiri delover biar lu rasain sendiri gimana apk bca ini,1,BCAMobile_reviews
sering sekali keadaan genting malah harus verifikasi ulang padahal ga lama sebelum nya bisa di buka tolong tingkatkan lagi,1,BCAMobile_reviews
makin kesini malah makin kesono selalu force stop memang brimo superapp tak terkalahkan,1,BCAMobile_reviews
ga jelas harus vermukpadahal data udh lengkap udh bener tpi gliran vermuk gagal teros apa apa harus ke bank ngerepotin banget,1,BCAMobile_reviews
bca sableng saya top up plazz saldo ke etol gk masuk saldo mbanking ke potong udah kali kejadian kya gtu edann emang,1,BCAMobile_reviews
lemod lelet tak bisa dinperbarui,1,BCAMobile_reviews
kode sms tidak masuk saya sudah menunggu dan megirim kode sms secara berulang tp tidak kunjung masuk,1,BCAMobile_reviews
kalau nomer yang terdaftar gak punya kuota gak bisa buka bca mobile,1,BCAMobile_reviews
vertifikasi wajah nunggu sampai batrai sampai gak ada respon,1,BCAMobile_reviews
bukan lagi bank teraman,1,BCAMobile_reviews
aplikasinya selalu close padahal kemarin sudah di benerin,1,BCAMobile_reviews
qris gagal saldo kepotong ini bagaimana konsep nya,1,BCAMobile_reviews
sinyal susah semenjak update parah,1,BCAMobile_reviews
itu yakin biaya admin rb gk pakai kartu platinum saya itu kartunya biru emang biru platinum di potong rb,1,BCAMobile_reviews
bagi hp nya yang kamera depannya buram ato rusakjangan coba download dahcuma bikin kesel ajamakin ribet aplikasi bca nya,1,BCAMobile_reviews
kecewa pk bca mobile jaringannya lemot sekali tp kalau buka youtube cepet,1,BCAMobile_reviews
setelah di update jadi ngelag sama lemot,1,BCAMobile_reviews
seharusnya keamanan nasabah menjadi prioritas,1,BCAMobile_reviews
kenapa gaji saya tidak masukmasuk saya sudah menunggu dengan sabar tapi gaji saya yang seharusnya cair di tanggal april masih belum cair juga di tanggal april hari ini pelayanan seperti apa ini sampai gaji saya tidak masukmasuk hingga hari menunggu saya juga butuh uang untuk memenuhi kebutuhan hidup saya tolong ini pihak bca jangan dilamalamakan dong pencairan gaji karyawan yang pakai rekening bca ini sudah sering sekali terjadi gaji selalu terlambat dikirimkan,1,BCAMobile_reviews
buat rekening online sulit sekali,1,BCAMobile_reviews
sejak di update okt malah ga bisa di pake nih nutup sendiri aplikasi nya,1,BCAMobile_reviews
lemot parah,1,BCAMobile_reviews
bank paling menerikan yg salah petugas yg di penjara nasabah yuk segera pindah penyimpanan,1,BCAMobile_reviews
