content,clean_text,score,bank
Dikit2 verivikasi ribet. Mohon di perbaiki,dikit verivikasi ribet mohon di perbaiki,1,BCAMobile_reviews
sangat terbantu sexali dg adanya M bangking in,sangat terbantu sexali dg adanya m bangking in,1,BCAMobile_reviews
Kenapa sy tidak bisa mendownlod aplikasi bca,kenapa sy tidak bisa mendownlod aplikasi bca,1,BCAMobile_reviews
"sangat kecewa, saya melakukan transfer keterangan gagal tapi saldo saya berkurang",sangat kecewa saya melakukan transfer keterangan gagal tapi saldo saya berkurang,1,BCAMobile_reviews
Update an baru ada bugs,update an baru ada bugs,1,BCAMobile_reviews
"Gimana sih BCA , pas lagi transfer tiba tiba error dan disuruh cek mutasi , padahal yang dibutuhin bukti transfer bukan mutasi .. di inbox juga bukti transfernya gak ada",gimana sih bca pas lagi transfer tiba tiba error dan disuruh cek mutasi padahal yang dibutuhin bukti transfer bukan mutasi di inbox juga bukti transfernya gak ada,1,BCAMobile_reviews
"Lama bgt pemeliharaan nya, estimasi sampe jam 5. Mana ?",lama bgt pemeliharaan nya estimasi sampe jam mana,1,BCAMobile_reviews
ga bisa masuk masuk sampe pulsa habiss emangg tolol,ga bisa masuk masuk sampe pulsa habiss emangg tolol,1,BCAMobile_reviews
"Kode Otp GK muncul muncul,udh isi pulsa tetep aja,lama lama gimana sih ini,tolong di perbaiki lah,udh gitu verif wajah kadang ga di setujui padahal emng bner bener terang",kode otp gk muncul munculudh isi pulsa tetep ajalama lama gimana sih initolong di perbaiki lahudh gitu verif wajah kadang ga di setujui padahal emng bner bener terang,1,BCAMobile_reviews
"Buat hapus inbox g bisa,harus ini lah itulah.!!!!! PERBAIKI SEPERTI SEMULA",buat hapus inbox g bisaharus ini lah itulah perbaiki seperti semula,1,BCAMobile_reviews
Ini kenapa bca gangguan dri tdi gak sudah2,ini kenapa bca gangguan dri tdi gak sudah,1,BCAMobile_reviews
"Ini kenapa pakai mbanking isi pulsa 2 hari baru sampai, dan itu pun masuknya cuma sekali. Saya beli sampai 3x pulsa tidak sampai² tp saldo berkurang. Gimana ini BCA pertanggung jawabannya!",ini kenapa pakai mbanking isi pulsa hari baru sampai dan itu pun masuknya cuma sekali saya beli sampai x pulsa tidak sampai tp saldo berkurang gimana ini bca pertanggung jawabannya,1,BCAMobile_reviews
Woi gila yah emang ni apk udh 14 kali gw kirim pesan login aja di bikin ribet suee lu ngembantu apa nguras sih abis nih pulsa nga jls amat sih buat apa apk ini di buat cuma nyusahin doang coba lu check dong lu liat sendiri delover biar lu rasain sendiri gimana apk BCA ini,woi gila yah emang ni apk udh kali gw kirim pesan login aja di bikin ribet suee lu ngembantu apa nguras sih abis nih pulsa nga jls amat sih buat apa apk ini di buat cuma nyusahin doang coba lu check dong lu liat sendiri delover biar lu rasain sendiri gimana apk bca ini,1,BCAMobile_reviews
"sering sekali keadaan genting malah harus verifikasi ulang, padahal ga lama sebelum nya bisa di buka tolong tingkatkan lagi",sering sekali keadaan genting malah harus verifikasi ulang padahal ga lama sebelum nya bisa di buka tolong tingkatkan lagi,1,BCAMobile_reviews
"Makin kesini, malah makin kesono. Selalu Force Stop. Memang BRIMO Superapp tak terkalahkan! 👍",makin kesini malah makin kesono selalu force stop memang brimo superapp tak terkalahkan,1,BCAMobile_reviews
"Ga jelas harus vermuk,padahal data udh lengkap udh bener tpi gliran vermuk gagal teros, Apa apa harus ke bank ngerepotin banget",ga jelas harus vermukpadahal data udh lengkap udh bener tpi gliran vermuk gagal teros apa apa harus ke bank ngerepotin banget,1,BCAMobile_reviews
"Bca sableng , saya top up plazz , saldo ke etol gk masuk , saldo m-banking ke potong .. Udah 3 kali kejadian kya gtu edann emang",bca sableng saya top up plazz saldo ke etol gk masuk saldo mbanking ke potong udah kali kejadian kya gtu edann emang,1,BCAMobile_reviews
Lemod lelet tak bisa dinperbarui,lemod lelet tak bisa dinperbarui,1,BCAMobile_reviews
kode sms tidak masuk2 saya sudah menunggu dan megirim kode sms secara berulang tp tidak kunjung masuk,kode sms tidak masuk saya sudah menunggu dan megirim kode sms secara berulang tp tidak kunjung masuk,1,BCAMobile_reviews
kalau nomer yang terdaftar gak punya kuota gak bisa buka BCA mobile,kalau nomer yang terdaftar gak punya kuota gak bisa buka bca mobile,1,BCAMobile_reviews
Vertifikasi wajah nunggu sampai batrai 100 %sampai 0% gak ada respon,vertifikasi wajah nunggu sampai batrai sampai gak ada respon,1,BCAMobile_reviews
bukan lagi bank teraman,bukan lagi bank teraman,1,BCAMobile_reviews
Aplikasinya selalu close. Padahal kemarin sudah di benerin,aplikasinya selalu close padahal kemarin sudah di benerin,1,BCAMobile_reviews
qris gagal saldo kepotong ini bagaimana konsep nya,qris gagal saldo kepotong ini bagaimana konsep nya,1,BCAMobile_reviews
"sinyal susah semenjak update, parah2",sinyal susah semenjak update parah,1,BCAMobile_reviews
"itu yakin biaya admin 19 rb? gk pakai kartu platinum saya, itu kartunya biru , emang biru platinum? di potong 19 rb",itu yakin biaya admin rb gk pakai kartu platinum saya itu kartunya biru emang biru platinum di potong rb,1,BCAMobile_reviews
Bagi hp nya yang kamera depannya buram ato rusak..jangan coba2 download dah...cuma bikin kesel aja...makin ribet aplikasi BCA nya,bagi hp nya yang kamera depannya buram ato rusakjangan coba download dahcuma bikin kesel ajamakin ribet aplikasi bca nya,1,BCAMobile_reviews
kecewa pk bca mobile jaringannya lemot sekali tp kalau buka youtube cepet,kecewa pk bca mobile jaringannya lemot sekali tp kalau buka youtube cepet,1,BCAMobile_reviews
Setelah Di Update jadi Ngelag sama lemot,setelah di update jadi ngelag sama lemot,1,BCAMobile_reviews
Seharusnya keamanan nasabah menjadi prioritas,seharusnya keamanan nasabah menjadi prioritas,1,BCAMobile_reviews
"Kenapa gaji saya tidak masuk-masuk? Saya sudah menunggu dengan sabar, tapi gaji saya yang seharusnya cair di tanggal 15 April 2023 masih belum cair juga di tanggal 18 April 2023(hari ini). Pelayanan seperti apa ini sampai gaji saya tidak masuk-masuk hingga 3 hari menunggu???😏 Saya juga butuh uang untuk memenuhi kebutuhan hidup saya. Tolong ini pihak BCA jangan dilama-lamakan dong pencairan gaji karyawan yang pakai rekening BCA. Ini sudah sering sekali terjadi, gaji selalu terlambat dikirimkan.",kenapa gaji saya tidak masukmasuk saya sudah menunggu dengan sabar tapi gaji saya yang seharusnya cair di tanggal april masih belum cair juga di tanggal april hari ini pelayanan seperti apa ini sampai gaji saya tidak masukmasuk hingga hari menunggu saya juga butuh uang untuk memenuhi kebutuhan hidup saya tolong ini pihak bca jangan dilamalamakan dong pencairan gaji karyawan yang pakai rekening bca ini sudah sering sekali terjadi gaji selalu terlambat dikirimkan,1,BCAMobile_reviews
buat rekening online sulit sekali,buat rekening online sulit sekali,1,BCAMobile_reviews
"Sejak di Update 23 Okt 24, malah ga bisa di pake nih. Nutup sendiri Aplikasi nya!!",sejak di update okt malah ga bisa di pake nih nutup sendiri aplikasi nya,1,BCAMobile_reviews
LEMOT PARAH,lemot parah,1,BCAMobile_reviews
Bank paling menerikan. Yg salah petugas yg di penjara nasabah. Yuk segera pindah penyimpanan,bank paling menerikan yg salah petugas yg di penjara nasabah yuk segera pindah penyimpanan,1,BCAMobile_reviews
"perbaiki sistem keamanan dong.. udh brp kali kena bobol trus.. udh ganti pin, ganti no masih aja kena bobol.. bikin kpok, sekarang bank di indonesia udh gak aman..",perbaiki sistem keamanan dong udh brp kali kena bobol trus udh ganti pin ganti no masih aja kena bobol bikin kpok sekarang bank di indonesia udh gak aman,1,BCAMobile_reviews
"lama bgt donwloadnya, cuman 27 mb tapi berat bgt",lama bgt donwloadnya cuman mb tapi berat bgt,1,BCAMobile_reviews
"Isi etool gagal, Mobile bangking ganguan, saldo kepotong.. Telpon Layanan 1500888 habisin pulsa gw doang..",isi etool gagal mobile bangking ganguan saldo kepotong telpon layanan habisin pulsa gw doang,1,BCAMobile_reviews
"Plis siapapun jgn pernah pake bca, yang gue ilang 36 juta dan ga ada tindakan apapun sumpah Demi apapun demi Allah",plis siapapun jgn pernah pake bca yang gue ilang juta dan ga ada tindakan apapun sumpah demi apapun demi allah,1,BCAMobile_reviews
"Setelah update BCA Mobile versi 4.4.3 mengalami force close, tolong di lakukan update lagi",setelah update bca mobile versi mengalami force close tolong di lakukan update lagi,1,BCAMobile_reviews
Cari ke untungan dari pulsa ...gua udah hbis pulsa 25 tetep z g bisa aneh,cari ke untungan dari pulsa gua udah hbis pulsa tetep z g bisa aneh,1,BCAMobile_reviews
"min, cara liat bukti tranfer gmna sih. kmren sya tf tapi pnding. bsok ny liat udah gak ad pending nya, tapi liat buktinya gak ada di notif. gimna min?",min cara liat bukti tranfer gmna sih kmren sya tf tapi pnding bsok ny liat udah gak ad pending nya tapi liat buktinya gak ada di notif gimna min,1,BCAMobile_reviews
