Kata Asli,Frekuensi,Sumber,Kata Baku (Isi Manual),Kata Baku
bca,11626,BCAMobile,,baca
nya,7670,BCAMobile,,
ga,6323,BCAMobile,,enggak
aplikasi,6130,BCAMobile,,
gak,5782,BCAMobile,,enggak
mau,5763,BCAMobile,,
terus,5741,BCAMobile,,
update,5708,BCAMobile,,
verifikasi,5502,BCAMobile,,
malah,5139,BCAMobile,,
di,4946,BCAMobile,,
gagal,4669,BCAMobile,,
masuk,4522,BCAMobile,,
aja,4513,BCAMobile,,saja
padahal,4141,BCAMobile,,
saldo,3930,BCAMobile,,
udah,3881,BCAMobile,,sudah
bisa,3822,BCAMobile,,
transaksi,3685,BCAMobile,,
pulsa,3679,BCAMobile,,
yg,3601,BCAMobile,,yang
buka,3436,BCAMobile,,
susah,3178,BCAMobile,,
jadi,2909,BCAMobile,,
mobile,2900,BCAMobile,,
wajah,2773,BCAMobile,,
hp,2736,BCAMobile,,
ribet,2674,BCAMobile,,
sama,2592,BCAMobile,,
gk,2521,BCAMobile,,enggak
buat,2511,BCAMobile,,
makin,2502,BCAMobile,,
selalu,2464,BCAMobile,,
bank,2431,BCAMobile,,
banget,2323,BCAMobile,,
kali,2317,BCAMobile,,
login,2308,BCAMobile,,
kok,2231,BCAMobile,,
pake,2173,BCAMobile,,pakai
sekarang,2166,BCAMobile,,
ulang,2154,BCAMobile,,
baru,2151,BCAMobile,,
lama,2084,BCAMobile,,
sms,2073,BCAMobile,,
apa,1951,BCAMobile,,
sering,1889,BCAMobile,,
sangat,1879,BCAMobile,,
transfer,1859,BCAMobile,,
tidak,1835,BCAMobile,,
apk,1830,BCAMobile,,
m,1801,BCAMobile,,sama
merah,1783,BCAMobile,,
hari,1725,BCAMobile,,
close,1718,BCAMobile,,
mulu,1717,BCAMobile,,
bagus,1717,BCAMobile,,
rekening,1700,BCAMobile,,
ada,1683,BCAMobile,,
keluar,1653,BCAMobile,,
data,1635,BCAMobile,,
perbaiki,1630,BCAMobile,,
tiba,1565,BCAMobile,,
pas,1555,BCAMobile,,
sekali,1548,BCAMobile,,
bikin,1547,BCAMobile,,
udh,1536,BCAMobile,,sudah
gimana,1534,BCAMobile,,bagaimana
sendiri,1516,BCAMobile,,
uang,1502,BCAMobile,,
force,1486,BCAMobile,,
kode,1450,BCAMobile,,
saya,1419,BCAMobile,,
dibuka,1408,BCAMobile,,
pakai,1379,BCAMobile,,
coba,1370,BCAMobile,,
ganti,1358,BCAMobile,,
sih,1348,BCAMobile,,
kalo,1347,BCAMobile,,
mohon,1344,BCAMobile,,
tetap,1332,BCAMobile,,
parah,1328,BCAMobile,,
habis,1327,BCAMobile,,
atm,1322,BCAMobile,,
cek,1319,BCAMobile,,
jelas,1315,BCAMobile,,
otp,1306,BCAMobile,,
jaringan,1288,BCAMobile,,
